A1BG-AS1__chr19	NR_015380__chr19__1
SNAP29__chr22	NM_004782__chr22__1
SNAP47__chr1	NM_053052__chr1__1|NM_001323933__chr1__1|NM_001323930__chr1__1|NM_001323932__chr1__1|NR_136654__chr1__1|NM_001323935__chr1__1|NR_136657__chr1__1|NM_001323931__chr1__1|NR_136655__chr1__1|NR_136656__chr1__1|NM_001323934__chr1__1
SNAP91__chr6	NM_001256718__chr6__1|NM_001242792__chr6__1|NM_001242793__chr6__1|NM_001242794__chr6__1|NM_001256717__chr6__1|NM_014841__chr6__1
SNAPC1__chr14	NM_003082__chr14__1
SNAPC2__chr19	NM_003083__chr19__1|NR_030717__chr19__1
SNAPC3__chr9	NM_001039697__chr9__1
SNAPC4__chr9	NM_003086__chr9__1
SNAPC5__chr15	NM_006049__chr15__1
SNAPIN__chr1	NM_012437__chr1__1|NR_052019__chr1__1|NR_052020__chr1__1
SNAR-A10__chr19	NR_024229__chr19__1|NR_024229__chr19__2|NR_024229__chr19__3|NR_024229__chr19__4|NR_024229__chr19__5|NR_024229__chr19__6|NR_024229__chr19__7|NR_024229__chr19__8|NR_024229__chr19__9|NR_024229__chr19__10
SNAR-A11__chr19	NR_024225__chr19__1|NR_024225__chr19__2|NR_024225__chr19__3|NR_024225__chr19__4|NR_024225__chr19__5|NR_024225__chr19__6|NR_024225__chr19__7|NR_024225__chr19__8|NR_024225__chr19__9|NR_024225__chr19__10
SNAR-A12__chr19	NR_004437__chr19__1|NR_004437__chr19__2
SNAR-A13__chr19	NR_024216__chr19__1|NR_024216__chr19__2
SNAR-A14__chr19	NR_024242__chr19__1|NR_024242__chr19__2|NR_024242__chr19__3|NR_024242__chr19__4|NR_024242__chr19__5|NR_024242__chr19__6|NR_024242__chr19__7|NR_024242__chr19__8|NR_024242__chr19__9|NR_024242__chr19__10
SNAR-A1__chr19	NR_004435__chr19__1|NR_004435__chr19__2
SNAR-A2__chr19	NR_004436__chr19__1|NR_004436__chr19__2
SNAR-A3__chr19	NR_024214__chr19__1|NR_024214__chr19__2|NR_024214__chr19__3|NR_024214__chr19__4|NR_024214__chr19__5|NR_024214__chr19__6|NR_024214__chr19__7|NR_024214__chr19__8|NR_024214__chr19__9|NR_024214__chr19__10
SNAR-A4__chr19	NR_024215__chr19__1|NR_024215__chr19__2|NR_024215__chr19__3|NR_024215__chr19__4|NR_024215__chr19__5|NR_024215__chr19__6|NR_024215__chr19__7|NR_024215__chr19__8|NR_024215__chr19__9|NR_024215__chr19__10
SNAR-A5__chr19	NR_024223__chr19__1|NR_024223__chr19__2|NR_024223__chr19__3|NR_024223__chr19__4|NR_024223__chr19__5|NR_024223__chr19__6|NR_024223__chr19__7|NR_024223__chr19__8|NR_024223__chr19__9|NR_024223__chr19__10
SNAR-A6__chr19	NR_024227__chr19__1|NR_024227__chr19__2|NR_024227__chr19__3|NR_024227__chr19__4|NR_024227__chr19__5|NR_024227__chr19__6|NR_024227__chr19__7|NR_024227__chr19__8|NR_024227__chr19__9|NR_024227__chr19__10
SNAR-A7__chr19	NR_024224__chr19__1|NR_024224__chr19__2|NR_024224__chr19__3|NR_024224__chr19__4|NR_024224__chr19__5|NR_024224__chr19__6|NR_024224__chr19__7|NR_024224__chr19__8|NR_024224__chr19__9|NR_024224__chr19__10
SNAR-A8__chr19	NR_024228__chr19__1|NR_024228__chr19__2|NR_024228__chr19__3|NR_024228__chr19__4|NR_024228__chr19__5|NR_024228__chr19__6|NR_024228__chr19__7|NR_024228__chr19__8|NR_024228__chr19__9|NR_024228__chr19__10
SNAR-A9__chr19	NR_024226__chr19__1|NR_024226__chr19__2|NR_024226__chr19__3|NR_024226__chr19__4|NR_024226__chr19__5|NR_024226__chr19__6|NR_024226__chr19__7|NR_024226__chr19__8|NR_024226__chr19__9|NR_024226__chr19__10
SNAR-B1__chr19	NR_024231__chr19__1|NR_024231__chr19__2
SNAR-B2__chr19	NR_024230__chr19__1|NR_024230__chr19__2
SNAR-C1__chr19	NR_024220__chr19__1|NR_024220__chr19__2|NR_024220__chr19__3
SNAR-C2__chr19	NR_024217__chr19__1|NR_024217__chr19__2|NR_024217__chr19__3
SNAR-C3__chr19	NR_024221__chr19__1
SNAR-C4__chr19	NR_024218__chr19__1
SNAR-C5__chr19	NR_024219__chr19__1|NR_024219__chr19__2|NR_024219__chr19__3
SNAR-D__chr19	NR_024243__chr19__1
SNAR-E__chr19	NR_024258__chr19__1
SNAR-F__chr19	NR_004384__chr19__1
SNAR-G1__chr19	NR_004383__chr19__1
SNAR-G2__chr19	NR_024244__chr19__1
SNAR-H__chr2	NR_024342__chr2__1
SNAR-I__chr3	NR_024343__chr3__1
SNCA-AS1__chr4	NR_045481__chr4__1
SNCAIP__chr5	NR_131762__chr5__1|NM_001242935__chr5__1|NM_001308100__chr5__1|NM_001308107__chr5__1|NM_001308109__chr5__1|NM_005460__chr5__1|NM_001308105__chr5__1|NM_001308106__chr5__1|NM_001308108__chr5__1|NR_131761__chr5__1
SNCA__chr4	NM_001146054__chr4__1|NM_007308__chr4__1|NM_000345__chr4__1|NM_001146055__chr4__1
SNCB__chr5	NM_001001502__chr5__1|NM_001318034__chr5__1|NM_001318035__chr5__1|NM_001318036__chr5__1|NM_001318037__chr5__1|NM_003085__chr5__1
SNCG__chr10	NM_003087__chr10__1
SND1-IT1__chr7	NR_027330__chr7__1
SND1__chr7	NM_014390__chr7__1
SNED1__chr2	NM_001080437__chr2__1
SNF8__chr17	NM_001317192__chr17__1|NM_001317193__chr17__1|NM_001317194__chr17__1|NM_007241__chr17__1|NR_133679__chr17__1
SNHG10__chr14	NR_001459__chr14__1|NR_003138__chr14__1
SNHG11__chr20	NR_003239__chr20__1
SNHG12__chr1	NR_024127__chr1__1
SNHG15__chr7	NR_003697__chr7__1
SNHG16__chr17	NR_038108__chr17__1|NR_038109__chr17__1|NR_038110__chr17__1|NR_038111__chr17__1
SNHG17__chr20	NR_027241__chr20__1|NR_015366__chr20__1
SNHG18__chr5	NR_045196__chr5__1
SNHG19__chr16	NR_132114__chr16__1
SNHG1__chr11	NR_003098__chr11__1
SNHG20__chr17	NR_027058__chr17__1
SNHG21__chr15	NR_110099__chr15__1|NR_110100__chr15__1|NR_110096__chr15__1|NR_110097__chr15__1|NR_110098__chr15__1
SNHG22__chr18	NR_117096__chr18__1
SNHG24__chr14	NR_110178__chr14__1
SNHG25__chr17	NR_132278__chr17__1
SNHG3__chr1	NR_002909__chr1__1|NR_036473__chr1__1
SNHG4__chr5	NR_003141__chr5__1|NR_036536__chr5__1
SNHG5__chr6	NR_003038__chr6__1
SNHG6__chr8	NR_002599__chr8__1
SNHG7__chr9	NR_024542__chr9__1|NR_024543__chr9__1|NR_003672__chr9__1
SNHG8__chr4	NR_003584__chr4__1|NR_034010__chr4__1|NR_034011__chr4__1
SNHG9__chr16	NR_003142__chr16__1
SNIP1__chr1	NM_024700__chr1__1
SNN__chr16	NM_003498__chr16__1
SNORA100__chr1	NR_132782__chr1__1
SNORA101A__chr4	NR_135619__chr4__1
SNORA101B__chr14	NR_135620__chr14__1
SNORA103__chr1	NR_132783__chr1__1
SNORA104__chr19	NR_132784__chr19__1
SNORA105A__chr2	NR_132787__chr2__1
SNORA105A__chr5	NR_132787__chr5__1
SNORA105B__chr2	NR_132788__chr2__1
SNORA105B__chr5	NR_132788__chr5__1
SNORA105C__chr12	NR_132789__chr12__1
SNORA107__chr13	NR_132852__chr13__1
SNORA108__chr18	NR_132963__chr18__1
SNORA109__chrX	NR_132964__chrX__1
SNORA10__chr16	NR_002327__chr16__1
SNORA110__chr1	NR_132966__chr1__1
SNORA111__chr18	NR_132967__chr18__1
SNORA11B__chr14	NR_003709__chr14__1
SNORA11C__chrX	NR_003710__chrX__1
SNORA11D__chrX	NR_003711__chrX__1|NR_003711__chrX__2
SNORA11E__chrX	NR_102368__chrX__1|NR_102368__chrX__2
SNORA11__chrX	NR_002953__chrX__1
SNORA12__chr10	NR_002954__chr10__1
SNORA13__chr5	NR_002922__chr5__1
SNORA14A__chr7	NR_002955__chr7__1
SNORA14B__chr1	NR_002956__chr1__1
SNORA15__chr7	NR_002957__chr7__1
SNORA16A__chr1	NR_003035__chr1__1
SNORA16B__chr1	NR_004389__chr1__1
SNORA17A__chr9	NR_002958__chr9__1
SNORA17B__chr9	NR_002975__chr9__1
SNORA18__chr11	NR_002959__chr11__1
SNORA19__chr10	NR_002917__chr10__1
SNORA1__chr11	NR_003026__chr11__1
SNORA20__chr6	NR_002960__chr6__1
SNORA21__chr17	NR_002576__chr17__1
SNORA22__chr7	NR_002961__chr7__1
SNORA23__chr11	NR_002962__chr11__1
SNORA24__chr4	NR_002963__chr4__1
SNORA25__chr11	NR_003028__chr11__1
SNORA26__chr4	NR_003016__chr4__1
SNORA27__chr13	NR_002575__chr13__1
SNORA28__chr14	NR_002964__chr14__1
SNORA29__chr6	NR_002965__chr6__1
SNORA2A__chr12	NR_002950__chr12__1
SNORA2B__chr12	NR_002951__chr12__1
SNORA2C__chr12	NR_002968__chr12__1
SNORA30__chr16	NR_002966__chr16__1
SNORA31__chr13	NR_002967__chr13__1
SNORA32__chr11	NR_003032__chr11__1
SNORA33__chr6	NR_002436__chr6__1
SNORA35__chrX	NR_002993__chrX__1
SNORA36A__chrX	NR_002969__chrX__1
SNORA36B__chr1	NR_002994__chr1__1
SNORA36C__chr2	NR_003705__chr2__1
SNORA37__chr18	NR_002970__chr18__1
SNORA38B__chr17	NR_003706__chr17__1
SNORA38__chr6	NR_002971__chr6__1
SNORA38__chr6_GL000251v2_alt	NR_002971__chr6_GL000251v2_alt__1
SNORA38__chr6_GL000252v2_alt	NR_002971__chr6_GL000252v2_alt__1
SNORA38__chr6_GL000253v2_alt	NR_002971__chr6_GL000253v2_alt__1
SNORA38__chr6_GL000254v2_alt	NR_002971__chr6_GL000254v2_alt__1
SNORA38__chr6_GL000255v2_alt	NR_002971__chr6_GL000255v2_alt__1
SNORA38__chr6_GL000256v2_alt	NR_002971__chr6_GL000256v2_alt__1
SNORA3A__chr11	NR_002580__chr11__1
SNORA3B__chr11	NR_002977__chr11__1
SNORA40__chr11	NR_002973__chr11__1
SNORA41__chr2	NR_002590__chr2__1
SNORA44__chr1	NR_002976__chr1__1
SNORA46__chr16	NR_002978__chr16__1
SNORA47__chr5	NR_003014__chr5__1
SNORA48__chr17	NR_002918__chr17__1
SNORA49__chr12	NR_002979__chr12__1
SNORA4__chr3	NR_002588__chr3__1
SNORA50A__chr16	NR_002980__chr16__1
SNORA50C__chr17	NR_002995__chr17__1
SNORA51__chr20	NR_002981__chr20__1
SNORA52__chr11	NR_002585__chr11__1
SNORA53__chr12	NR_003015__chr12__1
SNORA54__chr11	NR_002982__chr11__1
SNORA54__chr11_KI270831v1_alt	NR_002982__chr11_KI270831v1_alt__1
SNORA55__chr1	NR_002983__chr1__1
SNORA56__chrX	NR_002984__chrX__1
SNORA57__chr11	NR_004390__chr11__1
SNORA58__chr3	NR_002985__chr3__1
SNORA59A__chr1	NR_003025__chr1__1
SNORA59A__chr17	NR_003025__chr17__1
SNORA59B__chr1	NR_003022__chr1__1
SNORA59B__chr17	NR_003022__chr17__1
SNORA5A__chr7	NR_002919__chr7__1
SNORA5B__chr7	NR_002990__chr7__1
SNORA5C__chr7	NR_002991__chr7__1
SNORA60__chr20	NR_002986__chr20__1
SNORA61__chr1	NR_002987__chr1__1
SNORA62__chr3	NR_002324__chr3__1
SNORA63__chr3	NR_002586__chr3__1
SNORA64__chr16	NR_002326__chr16__1
SNORA65__chr9	NR_002449__chr9__1
SNORA66__chr1	NR_002444__chr1__1
SNORA67__chr17	NR_002912__chr17__1
SNORA68__chr19	NR_000012__chr19__1
SNORA69__chrX	NR_002584__chrX__1
SNORA6__chr3	NR_002325__chr3__1
SNORA70B__chr2	NR_003707__chr2__1
SNORA70C__chr9	NR_003708__chr9__1
SNORA70D__chr16	NR_033337__chr16__1
SNORA70E__chr11	NR_033347__chr11__1
SNORA70F__chr2	NR_033309__chr2__1
SNORA70G__chr12	NR_033335__chr12__1
SNORA70__chrX	NR_000011__chrX__1
SNORA71A__chr20	NR_002911__chr20__1
SNORA71B__chr20	NR_002910__chr20__1
SNORA71C__chr20	NR_003017__chr20__1
SNORA71D__chr20	NR_003018__chr20__1
SNORA71E__chr20	NR_002972__chr20__1
SNORA72__chr8	NR_002581__chr8__1
SNORA73A__chr1	NR_002907__chr1__1
SNORA73B__chr1	NR_004404__chr1__1
SNORA74A__chr5	NR_002915__chr5__1
SNORA74B__chr5	NR_002988__chr5__1
SNORA75__chr2	NR_002921__chr2__1
SNORA77__chr1	NR_003019__chr1__1
SNORA78__chr16	NR_003020__chr16__1
SNORA79__chr14	NR_003021__chr14__1
SNORA7A__chr3	NR_002582__chr3__1
SNORA7B__chr3	NR_002992__chr3__1
SNORA80A__chr21	NR_002996__chr21__1
SNORA80B__chr2	NR_028374__chr2__1
SNORA80E__chr1	NR_002974__chr1__1
SNORA81__chr3	NR_002989__chr3__1
SNORA84__chr9	NR_003704__chr9__1
SNORA86__chr10	NR_132768__chr10__1
SNORA87__chr10	NR_132769__chr10__1
SNORA88__chr11	NR_132770__chr11__1
SNORA89__chr14	NR_132771__chr14__1
SNORA8__chr11	NR_002920__chr11__1
SNORA90__chr17	NR_132772__chr17__1
SNORA90__chr17_KI270857v1_alt	NR_132772__chr17_KI270857v1_alt__1
SNORA91__chr21	NR_132773__chr21__1
SNORA92__chr22	NR_132774__chr22__1
SNORA93__chr3	NR_132775__chr3__1
SNORA94__chr3	NR_132776__chr3__1
SNORA95__chr3	NR_132777__chr3__1
SNORA98__chr6	NR_132778__chr6__1
SNORA99__chr8	NR_132779__chr8__1
SNORA9__chr7	NR_002952__chr7__1
SNORD100__chr6	NR_002435__chr6__1
SNORD101__chr6	NR_002434__chr6__1
SNORD102__chr13	NR_002574__chr13__1
SNORD103A__chr1	NR_004054__chr1__1|NR_004054__chr1__2
SNORD103B__chr1	NR_033295__chr1__1|NR_033295__chr1__2
SNORD103C__chr1	NR_003066__chr1__1
SNORD104__chr17	NR_004380__chr17__1
SNORD105B__chr19	NR_003688__chr19__1
SNORD105__chr19	NR_004381__chr19__1
SNORD107__chr15	NR_001293__chr15__1
SNORD108__chr15	NR_001292__chr15__1
SNORD109A__chr15	NR_001295__chr15__1|NR_001295__chr15__2
SNORD109B__chr15	NR_001289__chr15__1|NR_001289__chr15__2
SNORD10__chr17	NR_002604__chr17__1
SNORD110__chr20	NR_003078__chr20__1
SNORD111B__chr16	NR_037420__chr16__1
SNORD111__chr16	NR_003079__chr16__1
SNORD112__chr14	NR_003080__chr14__1
SNORD113-1__chr14	NR_003229__chr14__1
SNORD113-2__chr14	NR_003230__chr14__1
SNORD113-3__chr14	NR_003231__chr14__1
SNORD113-4__chr14	NR_003232__chr14__1
SNORD113-5__chr14	NR_003233__chr14__1
SNORD113-6__chr14	NR_003234__chr14__1
SNORD113-7__chr14	NR_003235__chr14__1
SNORD113-8__chr14	NR_003236__chr14__1
SNORD113-9__chr14	NR_003237__chr14__1
SNORD114-10__chr14	NR_003203__chr14__1
SNORD114-11__chr14	NR_003204__chr14__1
SNORD114-12__chr14	NR_003205__chr14__1
SNORD114-13__chr14	NR_003206__chr14__1
SNORD114-14__chr14	NR_003207__chr14__1
SNORD114-15__chr14	NR_003208__chr14__1
SNORD114-16__chr14	NR_003209__chr14__1
SNORD114-17__chr14	NR_003210__chr14__1
SNORD114-18__chr14	NR_003211__chr14__1
SNORD114-19__chr14	NR_003212__chr14__1
SNORD114-1__chr14	NR_003193__chr14__1
SNORD114-20__chr14	NR_003213__chr14__1
SNORD114-21__chr14	NR_003214__chr14__1
SNORD114-22__chr14	NR_003215__chr14__1
SNORD114-23__chr14	NR_003216__chr14__1
SNORD114-24__chr14	NR_003217__chr14__1
SNORD114-25__chr14	NR_003218__chr14__1
SNORD114-26__chr14	NR_003219__chr14__1
SNORD114-27__chr14	NR_003220__chr14__1
SNORD114-28__chr14	NR_003221__chr14__1
SNORD114-29__chr14	NR_003222__chr14__1
SNORD114-2__chr14	NR_003194__chr14__1
SNORD114-30__chr14	NR_003223__chr14__1
SNORD114-31__chr14	NR_003224__chr14__1
SNORD114-3__chr14	NR_003195__chr14__1
SNORD114-4__chr14	NR_003196__chr14__1
SNORD114-5__chr14	NR_003197__chr14__1
SNORD114-6__chr14	NR_003198__chr14__1
SNORD114-7__chr14	NR_003199__chr14__1
SNORD114-8__chr14	NR_003200__chr14__1
SNORD114-9__chr14	NR_003201__chr14__1
SNORD115-10__chr15	NR_003302__chr15__1|NR_003302__chr15__2|NR_003302__chr15__3|NR_003302__chr15__4|NR_003302__chr15__5
SNORD115-11__chr15	NR_003303__chr15__1|NR_003303__chr15__2|NR_003303__chr15__3|NR_003303__chr15__4
SNORD115-12__chr15	NR_003304__chr15__1|NR_003304__chr15__2|NR_003304__chr15__3
SNORD115-13__chr15	NR_003305__chr15__1
SNORD115-14__chr15	NR_003306__chr15__1
SNORD115-15__chr15	NR_003307__chr15__1|NR_003307__chr15__2
SNORD115-16__chr15	NR_003308__chr15__1
SNORD115-17__chr15	NR_003309__chr15__1|NR_003309__chr15__2|NR_003309__chr15__3
SNORD115-18__chr15	NR_003310__chr15__1|NR_003310__chr15__2|NR_003310__chr15__3
SNORD115-19__chr15	NR_003311__chr15__1|NR_003311__chr15__2|NR_003311__chr15__3
SNORD115-1__chr15	NR_001291__chr15__1
SNORD115-20__chr15	NR_003312__chr15__1
SNORD115-21__chr15	NR_003313__chr15__1|NR_003313__chr15__2|NR_003313__chr15__3
SNORD115-22__chr15	NR_003314__chr15__1
SNORD115-23__chr15	NR_003315__chr15__1
SNORD115-24__chr15	NR_003495__chr15__1
SNORD115-25__chr15	NR_003342__chr15__1
SNORD115-26__chr15	NR_003343__chr15__1
SNORD115-27__chr15	NR_003496__chr15__1
SNORD115-28__chr15	NR_003497__chr15__1
SNORD115-29__chr15	NR_003344__chr15__1|NR_003344__chr15__2|NR_003344__chr15__3|NR_003344__chr15__4
SNORD115-2__chr15	NR_003294__chr15__1
SNORD115-30__chr15	NR_003345__chr15__1
SNORD115-31__chr15	NR_003346__chr15__1
SNORD115-32__chr15	NR_003347__chr15__1
SNORD115-33__chr15	NR_003348__chr15__1
SNORD115-34__chr15	NR_003349__chr15__1
SNORD115-35__chr15	NR_003350__chr15__1
SNORD115-36__chr15	NR_003351__chr15__1|NR_003351__chr15__2|NR_003351__chr15__3|NR_003351__chr15__4
SNORD115-37__chr15	NR_003352__chr15__1
SNORD115-38__chr15	NR_003353__chr15__1
SNORD115-39__chr15	NR_003354__chr15__1
SNORD115-3__chr15	NR_003295__chr15__1
SNORD115-40__chr15	NR_003355__chr15__1
SNORD115-41__chr15	NR_003356__chr15__1
SNORD115-42__chr15	NR_003357__chr15__1
SNORD115-43__chr15	NR_003358__chr15__1|NR_003358__chr15__2|NR_003358__chr15__3|NR_003358__chr15__4
SNORD115-44__chr15	NR_003359__chr15__1
SNORD115-45__chr15	NR_003498__chr15__1
SNORD115-46__chr15	NR_047033__chr15__1
SNORD115-47__chr15	NR_003499__chr15__1
SNORD115-48__chr15	NR_003362__chr15__1
SNORD115-4__chr15	NR_003296__chr15__1
SNORD115-5__chr15	NR_003297__chr15__1|NR_003297__chr15__2|NR_003297__chr15__3
SNORD115-6__chr15	NR_003298__chr15__1
SNORD115-7__chr15	NR_003299__chr15__1
SNORD115-8__chr15	NR_003300__chr15__1
SNORD115-9__chr15	NR_003301__chr15__1|NR_003301__chr15__2|NR_003301__chr15__3
SNORD116-10__chr15	NR_003325__chr15__1
SNORD116-11__chr15	NR_003326__chr15__1
SNORD116-12__chr15	NR_003327__chr15__1
SNORD116-13__chr15	NR_003328__chr15__1
SNORD116-14__chr15	NR_003329__chr15__1
SNORD116-15__chr15	NR_003330__chr15__1
SNORD116-16__chr15	NR_003331__chr15__1
SNORD116-17__chr15	NR_003332__chr15__1|NR_003332__chr15__2
SNORD116-18__chr15	NR_003333__chr15__1
SNORD116-19__chr15	NR_001290__chr15__1|NR_001290__chr15__2
SNORD116-1__chr15	NR_003316__chr15__1
SNORD116-20__chr15	NR_003334__chr15__1
SNORD116-21__chr15	NR_003335__chr15__1
SNORD116-22__chr15	NR_003336__chr15__1
SNORD116-23__chr15	NR_003337__chr15__1
SNORD116-24__chr15	NR_003338__chr15__1
SNORD116-25__chr15	NR_003339__chr15__1
SNORD116-26__chr15	NR_003340__chr15__1
SNORD116-27__chr15	NR_003341__chr15__1
SNORD116-28__chr15	NR_003361__chr15__1
SNORD116-29__chr15	NR_003360__chr15__1
SNORD116-2__chr15	NR_003317__chr15__1|NR_003317__chr15__2
SNORD116-30__chr15	NR_047032__chr15__1
SNORD116-3__chr15	NR_003318__chr15__1|NR_003318__chr15__2
SNORD116-4__chr15	NR_003319__chr15__1
SNORD116-5__chr15	NR_003320__chr15__1|NR_003320__chr15__2
SNORD116-6__chr15	NR_003321__chr15__1
SNORD116-7__chr15	NR_003322__chr15__1|NR_003322__chr15__2
SNORD116-8__chr15	NR_003323__chr15__1
SNORD116-9__chr15	NR_003324__chr15__1|NR_003324__chr15__2
SNORD117__chr6	NR_003140__chr6__1
SNORD117__chr6_GL000250v2_alt	NR_003140__chr6_GL000250v2_alt__1
SNORD117__chr6_GL000251v2_alt	NR_003140__chr6_GL000251v2_alt__1
SNORD117__chr6_GL000252v2_alt	NR_003140__chr6_GL000252v2_alt__1
SNORD117__chr6_GL000253v2_alt	NR_003140__chr6_GL000253v2_alt__1
SNORD117__chr6_GL000254v2_alt	NR_003140__chr6_GL000254v2_alt__1
SNORD117__chr6_GL000255v2_alt	NR_003140__chr6_GL000255v2_alt__1
SNORD117__chr6_GL000256v2_alt	NR_003140__chr6_GL000256v2_alt__1
SNORD118__chr17	NR_033294__chr17__1
SNORD119__chr20	NR_003684__chr20__1
SNORD11B__chr2	NR_003694__chr2__1
SNORD11__chr2	NR_003031__chr2__1
SNORD121A__chr9	NR_003685__chr9__1
SNORD121B__chr9	NR_102370__chr9__1
SNORD123__chr5	NR_003689__chr5__1
SNORD124__chr17	NR_102369__chr17__1
SNORD125__chr22	NR_003686__chr22__1
SNORD126__chr14	NR_003693__chr14__1
SNORD127__chr14	NR_003691__chr14__1
SNORD128__chr1	NR_132752__chr1__1
SNORD129__chr10	NR_132972__chr10__1
SNORD12B__chr20	NR_003695__chr20__1
SNORD12C__chr20	NR_002433__chr20__1
SNORD12__chr20	NR_003030__chr20__1
SNORD130__chr10	NR_132973__chr10__1
SNORD131__chr11	NR_132974__chr11__1
SNORD131__chr11_KI270721v1_random	NR_132974__chr11_KI270721v1_random__1
SNORD132__chr2	NR_132975__chr2__1
SNORD133__chr12	NR_132753__chr12__1
SNORD134__chr17	NR_132755__chr17__1
SNORD135__chr19	NR_132756__chr19__1
SNORD136__chr3	NR_132757__chr3__1
SNORD137__chr9	NR_132976__chr9__1
SNORD139__chr22	NR_000026__chr22__1
SNORD13__chr8	NR_003041__chr8__1
SNORD140__chr22	NR_132979__chr22__1
SNORD141A__chr5	NR_132980__chr5__1
SNORD141A__chr6	NR_132980__chr6__1
SNORD141A__chr9	NR_132980__chr9__1
SNORD141B__chr5	NR_132981__chr5__1
SNORD141B__chr6	NR_132981__chr6__1
SNORD141B__chr9	NR_132981__chr9__1
SNORD142__chr10	NR_132758__chr10__1
SNORD143__chr4	NR_132759__chr4__1
SNORD144__chr4	NR_132760__chr4__1
SNORD14A__chr11	NR_000022__chr11__1
SNORD14B__chr11	NR_001452__chr11__1
SNORD14C__chr11	NR_001453__chr11__1
SNORD14D__chr11	NR_001454__chr11__1
SNORD14E__chr11	NR_003125__chr11__1
SNORD15A__chr11	NR_000005__chr11__1
SNORD15B__chr11	NR_000025__chr11__1
SNORD16__chr15	NR_002440__chr15__1
SNORD17__chr20	NR_003045__chr20__1
SNORD18A__chr15	NR_002441__chr15__1
SNORD18B__chr15	NR_002442__chr15__1
SNORD18C__chr15	NR_002443__chr15__1
SNORD19B__chr3	NR_003687__chr3__1
SNORD19__chr3	NR_003047__chr3__1
SNORD1A__chr17	NR_004395__chr17__1
SNORD1B__chr17	NR_004396__chr17__1
SNORD1C__chr17	NR_004397__chr17__1
SNORD20__chr2	NR_002908__chr2__1
SNORD21__chr1	NR_000006__chr1__1
SNORD22__chr11	NR_000008__chr11__1
SNORD23__chr19	NR_003048__chr19__1
SNORD24__chr9	NR_002447__chr9__1
SNORD25__chr11	NR_002565__chr11__1
SNORD26__chr11	NR_002564__chr11__1
SNORD27__chr11	NR_002563__chr11__1
SNORD28__chr11	NR_002562__chr11__1
SNORD29__chr11	NR_002559__chr11__1
SNORD2__chr3	NR_002587__chr3__1
SNORD30__chr11	NR_002561__chr11__1
SNORD31__chr11	NR_002560__chr11__1
SNORD32A__chr19	NR_000021__chr19__1
SNORD32B__chr6	NR_003049__chr6__1
SNORD32B__chr6_GL000250v2_alt	NR_003049__chr6_GL000250v2_alt__1
SNORD32B__chr6_GL000251v2_alt	NR_003049__chr6_GL000251v2_alt__1
SNORD32B__chr6_GL000252v2_alt	NR_003049__chr6_GL000252v2_alt__1
SNORD32B__chr6_GL000253v2_alt	NR_003049__chr6_GL000253v2_alt__1
SNORD32B__chr6_GL000254v2_alt	NR_003049__chr6_GL000254v2_alt__1
SNORD32B__chr6_GL000255v2_alt	NR_003049__chr6_GL000255v2_alt__1
SNORD33__chr19	NR_000020__chr19__1
SNORD34__chr19	NR_000019__chr19__1
SNORD35A__chr19	NR_000018__chr19__1
SNORD35B__chr19	NR_001285__chr19__1
SNORD36A__chr9	NR_002448__chr9__1
SNORD36B__chr9	NR_000017__chr9__1
SNORD36C__chr9	NR_000016__chr9__1
SNORD37__chr19	NR_002602__chr19__1
SNORD38A__chr1	NR_001456__chr1__1
SNORD38B__chr1	NR_001457__chr1__1
SNORD3A__chr17	NR_006880__chr17__1
SNORD3B-1__chr17	NR_003271__chr17__1|NR_003271__chr17__2
SNORD3B-2__chr17	NR_003924__chr17__1|NR_003924__chr17__2
SNORD3C__chr17	NR_006881__chr17__1
SNORD3D__chr17	NR_006882__chr17__1
SNORD41__chr19	NR_002751__chr19__1
SNORD42A__chr17	NR_000014__chr17__1
SNORD42B__chr17	NR_000013__chr17__1
SNORD43__chr22	NR_002439__chr22__1
SNORD44__chr1	NR_002750__chr1__1
SNORD45A__chr1	NR_002749__chr1__1
SNORD45B__chr1	NR_002748__chr1__1
SNORD45C__chr1	NR_003042__chr1__1
SNORD46__chr1	NR_000024__chr1__1
SNORD47__chr1	NR_002746__chr1__1
SNORD48__chr6	NR_002745__chr6__1
SNORD48__chr6_GL000250v2_alt	NR_002745__chr6_GL000250v2_alt__1
SNORD48__chr6_GL000251v2_alt	NR_002745__chr6_GL000251v2_alt__1
SNORD48__chr6_GL000252v2_alt	NR_002745__chr6_GL000252v2_alt__1
SNORD48__chr6_GL000255v2_alt	NR_002745__chr6_GL000255v2_alt__1
SNORD49A__chr17	NR_002744__chr17__1
SNORD49B__chr17	NR_003043__chr17__1
SNORD4A__chr17	NR_000010__chr17__1
SNORD4B__chr17	NR_000009__chr17__1
SNORD50A__chr6	NR_002743__chr6__1
SNORD50B__chr6	NR_003044__chr6__1
SNORD51__chr2	NR_002589__chr2__1
SNORD52__chr6	NR_002742__chr6__1
SNORD52__chr6_GL000250v2_alt	NR_002742__chr6_GL000250v2_alt__1
SNORD52__chr6_GL000251v2_alt	NR_002742__chr6_GL000251v2_alt__1
SNORD52__chr6_GL000252v2_alt	NR_002742__chr6_GL000252v2_alt__1
SNORD52__chr6_GL000255v2_alt	NR_002742__chr6_GL000255v2_alt__1
SNORD53__chr2	NR_002741__chr2__1
SNORD54__chr8	NR_002437__chr8__1
